ID,Station Name,Total Docks,Latitude,Longitude
1.67419E+18,Public Rack - Kedvale Ave & Avondale Ave,2,41.952874,-87.731229
1.67419E+18,Public Rack - Kedzie Ave & Argyle St,2,41.972097,-87.708572
1.67419E+18,Public Rack - Kedzie Ave & Arthington St,1,41.8700949,-87.7062429
1.67419E+18,Public Rack - Keeler Ave & 26th St,1,41.844058,-87.729873
1.67419E+18,Public Rack - Kenton Ave & Palmer St,1,41.9206781,-87.7419523
1.67419E+18,Public Rack - Keystone Ave & Irving Park Rd,2,41.953449,-87.729635
1.67419E+18,Public Rack - Keystone Ave & North Ave,1,41.909623,-87.727951
1.44864E+18,S Wentworth Ave & W 111th St,5,41.6926176,-87.6280518
1.67419E+18,Public Rack - Kimball Ave & Carmen Ave,3,41.973896,-87.713297
1.67419E+18,Public Rack - Kostner Ave & North Ave,2,41.908816,-87.736463
1.67419E+18,Public Rack - Laramie Ave & Belmont Ave,2,41.9386855,-87.75563
1.67419E+18,Public Rack - Laramie Ave & Fullerton Ave,2,41.9240754,-87.7568589
1.67419E+18,Public Rack - Laramie Ave & Grand Ave,1,41.917002,-87.755972
1.67419E+18,Public Rack - Laramie Ave & Warwick Ave,5,41.948812,-87.75713
1.57111E+18,Harlem Ave & Grace St,9,41.9488531,-87.806938
1.67419E+18,Public Rack - Lawndale Ave & Diversey Ave,1,41.931702,-87.719254
1.67419E+18,Public Rack - Lawndale Ave & Polk St,2,41.8707651,-87.7183735
1.67419E+18,Public Rack - Legler Regional Library,2,41.879312,-87.725428
1.67419E+18,Public Rack - Linder Ave & Belmont Ave,2,41.938743,-87.763298
1.67419E+18,Public Rack - Lorel Ave & Chicago Ave,2,41.89503,-87.759917
1.67419E+18,Public Rack - Lowell Ave & Elston Ave,1,41.96614,-87.737
716,Eberhart Ave & 131st St,15,41.65841315,-87.6107109
1.59405E+18,California & 16th St,9,41.859228,-87.695562
1.44864E+18,S Michigan Ave & E 118th St,6,41.679804,-87.620843
1.56101E+18,Central Park Ave & Douglas Blvd,9,41.862355,-87.7157109
1.56101E+18,Lawndale Ave & 16th St,9,41.8591606,-87.7176965
1.4365E+18,N Damen Ave & W Chicago Ave,6,41.895809,-87.678519
1.67725E+18,Public Rack - Maryland Ave & 87th ST,1,41.736995,-87.603968
1.44864E+18,Woodlawn & 103rd - Olive Harvey Vaccination Site,10,41.707338,-87.59399
1.57595E+18,Major Ave & Bloomingdale Ave,9,41.9125923,-87.7686995
1.56101E+18,Tripp Ave & 15th St,9,41.860777,-87.7313639
1.56101E+18,Spaulding Ave & 16th St,9,41.85892,-87.707963
1.44864E+18,Steelworkers Park,6,41.738246,-87.531067
1.44864E+18,Maryland Ave & 104th St,10,41.705588,-87.602938
1.44864E+18,Indiana Ave & 133rd St,6,41.653564,-87.617054
1.67725E+18,Public Rack - 532 E 43rd St,1,41.816847,-87.613294
1.62272E+18,La Villita Park (Albany/30th),9,41.8392528,-87.7020207
1.67725E+18,Public Rack - Kostner Ave & Armitage Ave,1,41.917211,-87.736136
1.44864E+18,W 103rd St & S Avers Ave,10,41.705846,-87.717074
1.4365E+18,W Washington Blvd & N Peoria St,6,41.883043,-87.649931
1.4365E+18,N Carpenter St & W Lake St,6,41.885586,-87.6531893
1.4365E+18,N Green St & W Lake St,8,41.885579,-87.648484
1.4365E+18,N Southport Ave & W Newport Ave,8,41.944019,-87.663975
1.5637E+18,Lamon Ave & Belmont Ave,9,41.9390108,-87.7492834
1.56101E+18,Harding Ave & 26th St,9,41.8444715,-87.7232647
1.50021E+18,Ping Tom Park (East),6,41.8579886,-87.6319447
1.56101E+18,Tripp Ave & 31st St,9,41.836966,-87.730502
1.56101E+18,Kildare Ave & 26th St,9,41.8442315,-87.7321534
1.5637E+18,Mason Ave & Belmont Ave,9,41.9383682,-87.7725029
