geoid,state,county,tract,blockgrp,lat,lng,loc_id
1.70311E+14,17,31,70300,2,41.9266,-87.6505,12254
1.70313E+14,17,31,320400,1,41.8783,-87.6205,12255
1.70314E+14,17,31,351000,3,41.8367,-87.617,12256
1.7031E+14,17,31,40700,4,41.9684,-87.6995,12257
1.70318E+14,17,31,831500,1,41.9283,-87.7858,12258
1.70316E+14,17,31,600400,2,41.8398,-87.645,12259
1.7031E+14,17,31,20500,1,41.998,-87.6827,12260
1.70313E+14,17,31,260400,1,41.8864,-87.7402,12261
1.70318E+14,17,31,831000,1,41.9106,-87.6775,12262
1.70318E+14,17,31,831900,1,41.9448,-87.6641,12263
1.70318E+14,17,31,842100,1,41.8952,-87.7401,12264
1.70312E+14,17,31,221300,2,41.9196,-87.6974,12265
1.70317E+14,17,31,650301,1,41.7785,-87.7305,12266
1.70312E+14,17,31,221200,2,41.9218,-87.7024,12267
1.70312E+14,17,31,231100,1,41.9024,-87.7165,12268
1.70318E+14,17,31,843300,1,41.8676,-87.6936,12269
1.70312E+14,17,31,221300,1,41.923,-87.6978,12270
1.70312E+14,17,31,210502,3,41.9319,-87.7257,12271
1.70312E+14,17,31,221200,2,41.9216,-87.7071,12272
1.70312E+14,17,31,242300,2,41.8994,-87.6803,12273
1.70312E+14,17,31,161100,2,41.9483,-87.7392,12274
1.70318E+14,17,31,833000,1,41.8858,-87.6475,12275
1.70313E+14,17,31,320102,2,41.8831,-87.6244,12276
1.70318E+14,17,31,841000,1,41.8475,-87.6238,12277
1.70318E+14,17,31,842400,1,41.7365,-87.6256,12278
1.70316E+14,17,31,600900,2,41.8379,-87.6511,12279
1.70313E+14,17,31,250400,4,41.9093,-87.7777,12280
1.70312E+14,17,31,170300,1,41.9523,-87.7961,12281
1.70318E+14,17,31,837100,2,41.8866,-87.6975,12282
1.7031E+14,17,31,30706,1,41.9782,-87.6552,12283
1.70313E+14,17,31,260300,1,41.8834,-87.7308,12284
1.70311E+14,17,31,70102,2,41.9321,-87.6445,12285
1.70311E+14,17,31,50200,2,41.9578,-87.679,12286
1.7031E+14,17,31,40201,4,41.9721,-87.6988,12287
1.70317E+14,17,31,700302,4,41.7421,-87.7217,12288
1.70311E+14,17,31,81403,1,41.8909,-87.6187,12289
1.70311E+14,17,31,62100,1,41.9445,-87.6495,12290
1.7031E+14,17,31,40202,1,41.9814,-87.6929,12291
1.70313E+14,17,31,320400,1,41.8772,-87.617,12292
1.70318E+14,17,31,833000,1,41.8861,-87.6488,12293
1.70318E+14,17,31,841900,2,41.8641,-87.6467,12294
1.70314E+14,17,31,411000,3,41.7935,-87.5872,12295
1.70312E+14,17,31,221400,3,41.9179,-87.6895,12296
1.7031E+14,17,31,30800,4,41.9764,-87.663,12297
1.70318E+14,17,31,839800,1,41.838,-87.644,12298
1.70312E+14,17,31,150800,3,41.9466,-87.7522,12299
1.7031E+14,17,31,31000,2,41.9734,-87.6694,12300
1.70317E+14,17,31,711400,3,41.734,-87.6544,12301
1.70317E+14,17,31,730500,1,41.7214,-87.6371,12302
1.70318E+14,17,31,832600,2,41.9109,-87.6533,12303
1.70317E+14,17,31,671500,3,41.7686,-87.6687,12304
1.7031E+14,17,31,40600,2,41.965,-87.6875,12305
1.70313E+14,17,31,280100,3,41.8852,-87.647,12306
1.70316E+14,17,31,620300,5,41.7859,-87.7374,12307
1.70311E+14,17,31,81800,2,41.8903,-87.6387,12308
1.70318E+14,17,31,750500,1,41.6908,-87.681,12309
1.70313E+14,17,31,251800,3,41.8865,-87.7452,12310
1.70318E+14,17,31,842300,1,41.9106,-87.6628,12311
1.70318E+14,17,31,837800,1,41.8838,-87.6835,12312
1.70318E+14,17,31,831800,2,41.9758,-87.712,12313
1.70313E+14,17,31,330102,2,41.8675,-87.624,12314
1.70316E+14,17,31,630500,2,41.7939,-87.6842,12315
1.70311E+14,17,31,81500,2,41.8967,-87.6258,12316
1.70318E+14,17,31,832500,1,41.9229,-87.666,12317
1.70311E+14,17,31,140702,3,41.963,-87.717,12318
1.70312E+14,17,31,150502,3,41.9535,-87.7794,12319
1.70314E+14,17,31,430200,5,41.773,-87.5859,12320
1.70312E+14,17,31,210502,3,41.9318,-87.7268,12321
1.7031E+14,17,31,20902,1,41.9944,-87.6772,12322
1.70318E+14,17,31,841000,1,41.8498,-87.6272,12323
1.7031E+14,17,31,30104,1,41.9973,-87.6603,12324
1.70318E+14,17,31,841100,3,41.8528,-87.635,12325
1.70311E+14,17,31,110300,1,41.9794,-87.7865,12326
1.70311E+14,17,31,81402,1,41.892,-87.6137,12327
1.70312E+14,17,31,150200,2,41.9607,-87.7477,12328
1.70318E+14,17,31,839700,3,41.8308,-87.6486,12329
1.7031E+14,17,31,40800,1,41.9614,-87.6923,12330
1.70313E+14,17,31,330200,2,41.8579,-87.6284,12331
1.70312E+14,17,31,200402,2,41.919,-87.7316,12332
1.70312E+14,17,31,243500,1,41.889,-87.6535,12333
1.70312E+14,17,31,151002,2,41.9454,-87.7469,12334
1.70318E+14,17,31,839700,2,41.8328,-87.6463,12335
1.7031E+14,17,31,20500,2,41.9984,-87.6898,12336
1.70317E+14,17,31,670100,2,41.7937,-87.6574,12337
1.7031E+14,17,31,30800,2,41.9807,-87.6668,12338
1.70313E+14,17,31,271200,1,41.879,-87.7059,12339
1.70311E+14,17,31,81700,2,41.8947,-87.6317,12340
1.70311E+14,17,31,81100,1,41.9007,-87.6295,12341
1.70312E+14,17,31,242800,1,41.8897,-87.6867,12342
1.70318E+14,17,31,842300,2,41.8964,-87.6509,12343
1.7031E+14,17,31,30400,1,41.9904,-87.6716,12344
1.70316E+14,17,31,580502,3,41.8154,-87.6946,12345
1.70311E+14,17,31,140400,4,41.9719,-87.7382,12346
1.70311E+14,17,31,100500,4,41.9777,-87.822,12347
